The State Changed to :INTRO
2012-10-11 03:13:15.156,Bayreuth,Germany, co-ordinates [0.684628 , 0.5352727]
2012-10-11 03:13:15.312,Bayreuth,Germany, co-ordinates [0.684939 , 0.5358769]
2012-10-11 03:13:15.406,Bayreuth,Germany, co-ordinates [0.6858204 , 0.5355402]
2012-10-11 03:13:15.515,Bayreuth,Germany, co-ordinates [0.686986 , 0.5367289]
2012-10-11 03:13:15.562,Bayreuth,Germany, co-ordinates [0.6921858 , 0.5507776]
2012-10-11 03:13:15.562,Bayreuth,Germany, co-ordinates [0.6921858 , 0.5507776]
2012-10-11 03:13:15.562,Bayreuth,Germany, co-ordinates [0.6921858 , 0.5507776]
2012-10-11 03:13:15.906,Bayreuth,Germany, co-ordinates [0.7216336 , 0.5749828]
2012-10-11 03:13:15.968,Bayreuth,Germany, co-ordinates [0.7133589 , 0.5619577]
2012-10-11 03:13:15.968,Bayreuth,Germany, co-ordinates [0.7133589 , 0.5619577]
2012-10-11 03:13:16.218,Bayreuth,Germany, co-ordinates [0.6926557 , 0.5444989]
2012-10-11 03:13:16.265,Bayreuth,Germany, co-ordinates [0.6899543 , 0.5429885]
2012-10-11 03:13:16.265,Bayreuth,Germany, co-ordinates [0.6899543 , 0.5429885]
2012-10-11 03:13:16.531,Bayreuth,Germany, co-ordinates [0.6852856 , 0.5415038]
2012-10-11 03:13:16.562,Bayreuth,Germany, co-ordinates [0.6841422 , 0.5415041]
2012-10-11 03:13:16.562,Bayreuth,Germany, co-ordinates [0.6841422 , 0.5415041]
2012-10-11 03:13:16.828,Bayreuth,Germany, co-ordinates [0.6832173 , 0.5406858]
2012-10-11 03:13:16.906,Bayreuth,Germany, co-ordinates [0.6832361 , 0.5401718]
2012-10-11 03:13:17.015,Bayreuth,Germany, co-ordinates [0.6823879 , 0.5398696]
2012-10-11 03:13:17.156,Bayreuth,Germany, co-ordinates [0.6821169 , 0.5398896]
2012-10-11 03:13:17.265,Bayreuth,Germany, co-ordinates [0.6812683 , 0.539658]
2012-10-11 03:13:17.359,Bayreuth,Germany, co-ordinates [0.6814678 , 0.5369458]
2012-10-11 03:13:17.468,Bayreuth,Germany, co-ordinates [0.6819553 , 0.5348048]
2012-10-11 03:13:17.562,Bayreuth,Germany, co-ordinates [0.6821809 , 0.5337207]
2012-10-11 03:13:17.656,Bayreuth,Germany, co-ordinates [0.6828923 , 0.533905]
2012-10-11 03:13:17.765,Bayreuth,Germany, co-ordinates [0.6831461 , 0.5339333]
2012-10-11 03:13:17.859,Bayreuth,Germany, co-ordinates [0.683722 , 0.5340076]
2012-10-11 03:13:17.968,Bayreuth,Germany, co-ordinates [0.6847724 , 0.5339445]
2012-10-11 03:13:18.062,Bayreuth,Germany, co-ordinates [0.685147 , 0.5340121]
2012-10-11 03:13:18.156,Bayreuth,Germany, co-ordinates [0.6854107 , 0.533938]
2012-10-11 03:13:18.265,Bayreuth,Germany, co-ordinates [0.6857983 , 0.5336071]
2012-10-11 03:13:18.359,Bayreuth,Germany, co-ordinates [0.6859919 , 0.5339249]
2012-10-11 03:13:18.484,Bayreuth,Germany, co-ordinates [0.6869316 , 0.5340008]
2012-10-11 03:13:18.562,Bayreuth,Germany, co-ordinates [0.6862486 , 0.5340733]
2012-10-11 03:13:18.656,Bayreuth,Germany, co-ordinates [0.6865805 , 0.5340974]
2012-10-11 03:13:18.765,Bayreuth,Germany, co-ordinates [0.6870851 , 0.5342227]
2012-10-11 03:13:18.859,Bayreuth,Germany, co-ordinates [0.6878875 , 0.5339458]
2012-10-11 03:13:18.984,Bayreuth,Germany, co-ordinates [0.6897381 , 0.5342515]
2012-10-11 03:13:19.062,Bayreuth,Germany, co-ordinates [0.6897551 , 0.5346996]
2012-10-11 03:13:19.156,Bayreuth,Germany, co-ordinates [0.6900964 , 0.5347748]
2012-10-11 03:13:19.312,Bayreuth,Germany, co-ordinates [0.6916336 , 0.5343011]
2012-10-11 03:13:19.421,Bayreuth,Germany, co-ordinates [0.6920931 , 0.5343636]
2012-10-11 03:13:19.515,Bayreuth,Germany, co-ordinates [0.6925312 , 0.5341536]
Mic started

2012-10-11 03:13:19.609,Bayreuth,Germany, co-ordinates [0.6926201 , 0.5346425]
2012-10-11 03:13:19.718,Bayreuth,Germany, co-ordinates [0.6923223 , 0.5349951]
2012-10-11 03:13:19.812,Bayreuth,Germany, co-ordinates [0.6917412 , 0.5350778]
2012-10-11 03:13:19.921,Bayreuth,Germany, co-ordinates [0.6911168 , 0.534667]
2012-10-11 03:13:20.015,Bayreuth,Germany, co-ordinates [0.6915961 , 0.5344147]
2012-10-11 03:13:20.109,Bayreuth,Germany, co-ordinates [0.6927961 , 0.5344206]
2012-10-11 03:13:20.218,Bayreuth,Germany, co-ordinates [0.6938259 , 0.5343175]
2012-10-11 03:13:20.312,Bayreuth,Germany, co-ordinates [0.6945731 , 0.5342381]
